A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: 私は田舎生活の不便さは我慢できない。	I can't bear the inconvenience of country life.#ID=252305_162209
A: 私は中学生です。	I'm a junior high school student.#ID=252301_162212
A: 私は早起きになれている。	I'm used to getting up early.#ID=252294_162220
A: こないだ、カメラをなくしてしまった。	I lost my camera the other day.#ID=252292_162222
A: 私は学校に通っています。	I am a student.#ID=252287_162227
A: 私は新しい家具を注文した。	I ordered new furniture.#ID=252283_162231
A: 私は春が一番好きだ。	I like spring the best.#ID=252276_162238
A: 私は、昨年東京で催された現代美術展には、すべて出かけました。	I went to every modern art show that took place in Tokyo last year.#ID=252255_162259
A: 私は最低２マイルは歩ける。	I can walk at least two miles.#ID=252253_162261
A: 私は今30歳です。	I am 30 years old now.#ID=252248_162266
A: 私は犬が好きです。	I like dogs.#ID=252245_162269
A: 私は机を片付けた。	I cleared up my desk.#ID=252227_162287
A: 私は夏が嫌いです。	I don't like summer.#ID=252224_162290
A: 私は音楽を習います。	I'm learning music.#ID=252221_162293
A: 私はよく風邪を引く。	I often catch cold.#ID=255892_162305
A: 私はよく徹夜する。	I often stay up all night.#ID=252208_162306
A: 私は、ポーチに敷く木製のデッキパネルを購入したいと思います。	I would like to purchase a wooden deck panel that can be laid on the porch.#ID=252202_162312
A: 私はひとりでこの犬小屋を作った。	I made this kennel by myself.#ID=252199_162315
A: 私は、ひどく、面食らっている。	I feel like nothing on earth.#ID=252198_162316
A: 私はとても猫舌なんです。	I can't eat or drink very hot things.#ID=252191_162323
A: 私はそれを探さなければならない。	I have to find it.#ID=252187_162327
A: 私は、そこにいた時に英語を学びました。	I studied English when I was there.#ID=252165_162349
A: 私は、この暑い天気に嫌気が差しています。	I'm sick of this hot weather.#ID=252154_162360
A: 風邪早く治るといいね。	I hope you'll get over your cold soon.#ID=252127_162387
A: 私は１９８０年に京都で生まれた。	I was born in Kyoto in 1980.#ID=252119_162395
A: 私は１９８０年にそのクラブの会員になった。	I became a member of the club in 1980.#ID=252118_162397
A: 私の両親は二人ともとても元気です。	Both my parents are quite well.#ID=252075_162439
A: 私の名前を知っていますかと彼にたずねた。	I asked him if he knew my name.#ID=251980_162534
A: 私の娘は6月に結婚する予定です。	My daughter is to get married in June.#ID=251950_162564
A: 私は本当の事を言ってないと言うのですか。	Are you suggesting that I am not telling the truth?#ID=247095_162627
A: 私の本を見つけたら、送ってくれませんか。	If you come across my book, will you send it to me?#ID=251886_162628
A: 私の父は教師です。	My father is a teacher.#ID=251708_162806
A: 私の父が先月死んだとき、私が借金を支払う金しか残さなかった。	When my old man kicked the bucket last month, he left me only enough money to pay my debt with.#ID=251263_162904
A: 私の入浴中に電話が鳴った。	I was having a bath when the telephone rang.#ID=246987_162955
A: 私の答えで良いと思う。	My answer will be all right.#ID=251550_162963
A: 私の提案は、もっと多くの木を通りに植えようということです。	My suggestion is for more trees to be planted along the streets.#ID=251534_162979
A: 私の弟はすぐに東京の独り暮らしに慣れた。	My brother soon got used to living alone in Tokyo.#ID=251515_162998
A: 私の弟は、教会へ行くことはたとえあるにしてもめったにない。	My brother seldom, if ever, goes to church.#ID=251512_163001
A: 私の知る限りでは、これが手にはいる唯一の翻訳書だ。	To the best of my knowledge, this is the only translation available.#ID=251457_163056
A: 私の知っていることをすべてあなたにお話ししたら、あなたは驚くだろうに。	If I were to tell you all I know, you would be amazed.#ID=246916_163085
A: 私の誕生日は3月22日です。	My birthday is on March 22.#ID=251418_163094
A: 私は熱が３８度ある。	My temperature is 38 degrees.#ID=251396_163116
A: 私の体は興奮で震えた。	My body shivered with excitement.#ID=251394_163118
A: 私の足はあなたと比べて小さい。	My feet are smaller than yours.#ID=3665511_163119
A: 私の息子二人のうち、一人は教師で、もう一人は医者です。	One of my sons is a teacher, and the other is a doctor.#ID=251392_163120
A: 息子は来週フランスへ出発します。	My son is going to leave for France next week.#ID=251390_163122
A: うちの息子は病気がちだ。	My son is subject to ill health.#ID=251389_163123
A: 息子は早くから政治に興味を持った。	My son took an early interest in politics.#ID=251386_163126
A: 私の青年時代の友達も多く来ていただきました。	Many friends of my youth also came.#ID=251301_163211
A: このゴールドロレックスは僕の生活様式に合わない高価な時計です。	This gold Rolex is an expensive watch alien to my lifestyle.#ID=251298_163213
A: 私の書いたことが正しかったかしら。	I wonder if what I wrote was correct.#ID=251203_163309
A: 宿題手伝って。	Help me with my homework.#ID=251200_163312
A: 私の叔父はパリに十年住んでいる。	My uncle has lived in Paris for ten years.#ID=251174_163338
A: 私の趣味は小説を読むことです。	My hobby is reading novels.#ID=251145_163367
A: 私の趣味は写真を撮ることです。	My hobby is taking pictures.#ID=251144_163368
A: 私の自転車が石にぶつかったとき、前のタイヤがパンクした。	When my bicycle hit the rock, the front tire blew out.#ID=251043_163469
A: 私の子どもたちは動物が大好きです。	My children really like animals.#ID=250989_163523
A: 私の仕事は英語の先生です。	My job is teaching English.#ID=250933_163579
A: 私の妻はスミス家の出身でした。	My wife was a Smith.#ID=250904_163608
A: 私の言ったことを絶対に忘れるな。	Don't forget what I told you.#ID=250814_163697
A: 何か付け加えたいことはありますか？	Would you like to add anything to what I've said?#ID=250812_163699
A: 本気で言ってるんです。	I mean it.#ID=250804_163707
A: 私の言い訳を聞いてくれ。	Hear what I have to say.#ID=250792_163719
A: 彼は私の兄よりも年が上に見えます。	He looks older than my brother.#ID=250732_163778
A: 彼は私の兄です。	He is my brother.#ID=250680_163830
A: 私の兄は病気に違いない。	My brother must be sick.#ID=250677_163833
A: 脚がまだ痛む。	My legs still hurt.#ID=250648_163862
A: 私のお願いを聞いてもらえますか？	Will you do me a favor?#ID=64695_163883
A: 私の荷物が出てこなかったのですが、どうなっているのですか。	My luggage didn't arrive. What happened?#ID=250591_163919
A: 私の家の庭には昔菜園があった。	There used to be a vegetable garden in our yard.#ID=1540506_163996
A: 私宛の伝言はありますか。	Do you have any messages for me?#ID=250050_164033
A: 私はのんびり屋さんです。	I do things at my own pace.#ID=250422_164088
A: 私のやり方が気にいらないなら、自分の好きなようにしなさい。	Do it your own way if you don't like my way.#ID=250415_164095
A: 私のとけいは時間が正確ではありません。	My watch doesn't keep good time.#ID=250364_164146
A: 「私のことはほっておいて」と彼女は怒って言った。	"Leave me alone," she said angrily.#ID=388931_164194
A: 私の今日があるのは、おじさんのおかげです。	I owe what I am today to my uncle.#ID=250296_164213
A: 私のガーメントバッグはみつからないのです。	I can't find my garment bag.#ID=250279_164230
A: 私のｅ―ｍａｉｌアドレスは下記に変わりました。	My e-mail address has been changed as follows.#ID=250197_164312
A: 私のｅ―ｍａｉｌアドレスは８月１日より下記に変わります。	My e-mail address will be changed effective Aug. 1 as follows.#ID=250196_164313
A: 私のｅ―ｍａｉｌアドレスは４月１日より下記になります。	My e-mail address will be as follows effective April 1.#ID=250195_164314
A: 私のｅ―ｍａｉｌアドレスが変わりました。	My e-mail address has been changed.#ID=250194_164315
A: 私の６月８日のｅ―ｍａｉｌを誤解されたようです。	I'm afraid you must have misinterpreted my e-mail of Jun 8.#ID=250193_164316
A: 私についてきて。	Follow me.#ID=250135_164374
A: 私の自転車は昨日盗まれた。	My bike was stolen yesterday.#ID=250122_164387
A: 私の姉は婚約した。	My sister got engaged.#ID=250117_164392
A: ルーシーに私の犬の面倒を見てもらった。	My dog was taken care of by Lucy.#ID=250102_164406
A: 私に関する限り、その問題は簡単でない。	As far as I am concerned the question is not simple.#ID=250079_164429
A: 私に関する限り、その計画には反対ではありません。	As far as I'm concerned, I have no objection to the plan.#ID=250077_164431
A: 私に関して言えば、彼の案には反対ではない。	So far as I am concerned, I am not against his plan.#ID=250074_164434
A: 私に関しては、すべてうまく行っている。	All is well with me.#ID=250065_164443
A: 私にもしそのお金があれば、世界一周旅行をするだろう。	If I had the money, I would travel around the world.#ID=250024_164483
A: 私には息子と娘がある。前者はニューヨークにいるが、後者はロンドンにいる。	I have a son and a daughter. The one is in New York, and the other in London.#ID=249948_164559
A: 私は君が持っているような形の上着がほしい。	I want a jacket shaped like yours.#ID=249889_164618
A: 私にはまだ未払いの借金が１００ドルある。	My unpaid liabilities are still $100.#ID=249855_164652
A: 彼女は私の大切な人です。	She is dear to me.#ID=249746_164761
A: 私にとって200ドルは大金です。	Two hundred dollars is a lot to me.#ID=249726_164781
A: 私の代わりにこの問題を解いてください。	Please answer this question for me.#ID=249684_164823
A: 私と彼はいつも相性がよい。	I always get along well with him.#ID=249639_164868
A: 私と一緒に来ない？	Why don't you come with me?#ID=249619_164888
A: 私といっしょに来なさい。	Come with me.#ID=434458_164945
A: 私たちみんな恒久的な世界平和を願っています。	We all wish for permanent world peace.#ID=247773_164994
A: 私たちは旅を続けないのが賢明だと思った。	We thought it wise not to continue our trip.#ID=249483_165023
A: 私たちはきょうまでにレポートを提出することになっている。	We are supposed to hand in our papers by today.#ID=249471_165035
A: 私たちは夕食後散歩に行った。	We went out for a walk after dinner.#ID=249454_165052
A: 私は友達がレポートを提出してくれるのを当てにしている。	I'm relying on my friend to turn in the report for me.#ID=249446_165060
A: 私たちは夜明けに起きた。	We got up at dawn.#ID=249437_165069
A: 私たちは暴力が嫌いだ。	We abhor violence.#ID=249371_165134
A: 私達は歩いて川へ行きました。	We walked to the river.#ID=249358_165148
A: 私たちは勉強したいので学校へ行きます。	We go to school because we want to learn.#ID=249353_165153
A: 私たちは彼女が部屋にはいるのをみた。	We saw her enter the room.#ID=249286_165220
A: 私たちは彼を家に招いた。	We invited him to our house.#ID=249253_165251
A: 私たちは日毎に年をとっていく。	We are getting older day by day.#ID=249152_165353
A: 私は日本に来て初めて刺し身を食べた。	It was not until I came to Japan that I ate sashimi.#ID=249137_165368
A: 私たちは日の暮れる前までに車で１００キロ行った。	We covered 100 kilometers in the car before it got dark.#ID=249133_165371
A: 私たちは知っている事を話した。	We spoke what we know.#ID=249060_165445
A: 私達が生きていくためには衣食住が必要です。	We need food, clothes and a home in order to live.#ID=248949_165556
A: 私たちは成年に達すると選挙権を手にする。	We have the right to vote when we come of age.#ID=248938_165567
A: 私たちは自己紹介をした。	We introduced ourselves to each other.#ID=248871_165634
A: 私は昨日、本を読みませんでした。	I did not read a book yesterday.#ID=248737_165767
A: 私たちは原子爆弾を二度と使うべきではない。	We should never use an atomic bomb again.#ID=248632_165872
A: 私たちは休暇を思う存分楽しんだ。	We enjoyed our holidays to the full.#ID=248571_165933
A: 私たちの汽車は長いトンネルを通り抜けた。	Our train went through a long tunnel.#ID=247495_165949
A: 私たちは案内人の後から中へ入った。	We went in after the guide.#ID=248411_166093
A: 私たちはナイフとフォークの代わりに箸を使う。	We use chopsticks in place of knives and forks.#ID=248245_166259
A: 私たちはとても興奮していたので、じっと座っていることができませんでした。	We were so excited that we couldn't sit still.#ID=248231_166273
A: 私たちはどうしていいかわからなかった。	We didn't know what to do.#ID=248218_166286
A: 私はついにその問題の解答を見出した。	I finally found the solution to the problem.#ID=248196_166308
A: 空飛ぶ円盤だと思った。	We believed it to be a flying saucer.#ID=248176_166328
A: 私はその試合に負けると思う。	I'm afraid we'll lose the game.#ID=248111_166392
A: 私たちはその機を最大限に利用した。	We made the most of the opportunity.#ID=248077_166426
A: 私たちはその家をみどり色に塗った。	We painted the house green.#ID=248069_166434
A: 私たちはその双子を見わけることができなかった。	We could not tell the twins one from the other.#ID=248063_166440
A: 私たちはきみたちの不平不満にはうんざりしている。	We're fed up with your complaining.#ID=247943_166559
A: 私たちは彼を説得するのに失敗した。	We failed to persuade him.#ID=247935_166567
A: 私たちは３―０で負けた。	We lost the game 3-0.#ID=247824_166678
A: 私達は、彼がどこに住んでいるのかが分かった。	We found out where he lives.#ID=247782_166720
A: 私たちは男です。	We are men.#ID=388869_166725
A: 私たちは見知らぬ人が家に入るのを見た。	We saw a stranger enter the house.#ID=247751_166751
A: 私たちは学校を休みました。	We absented ourselves from school.#ID=247744_166758
A: 私たちは、メシアにあった。	We have found the Messiah.#ID=247732_166770
A: 私は、その学校に入学するためによく勉強した。	I studied hard to enter the school.#ID=247723_166779
A: 私たちの提案は彼の反対に合った。	Our suggestions met with his opposition.#ID=247659_166843
A: 私たちの中にスパイがいると彼は信じている。	He believes that there is a spy among us.#ID=247493_167009
A: 私たちの学校は７時１５分に始まります。	Our school starts at 7:15.#ID=247472_167030
A: 私たちの学校は3人のアメリカ人を交換留学生として受け入れた。	Our school accepted three Americans as exchange students.#ID=247471_167031
A: 私たちに本当のことを言ったほうがいいよ。	You may as well tell us the truth.#ID=247365_167137
A: 本を貸してくれてありがとう。	Thank you for lending us the book.#ID=247364_167138
A: 私たちが避けて通れない問題がたくさんあります。	There are a lot of problems we can't avoid.#ID=247296_167205
A: 私が彼女に会ったのは昨日のことでした。	It was yesterday that I met her.#ID=247033_167468
A: 私が彼に追いつくためにはもっと速く走らなければならない。	I have to run faster to catch up with him.#ID=2230326_167491
A: 私が彼について知っているのはこれだけです。	This is all that I know about him.#ID=247002_167499
A: 私が成功したのは彼の助言があったからだ。	It was thanks to his advice that I succeeded.#ID=246856_167642
A: 私が出した高価な寿司を誰も食べなかったのにはがっかりした。	It was disappointing that nobody ate the expensive sushi I had served.#ID=246821_167679
A: 私が再三断ったにも関わらず、彼は私にそこへ行けと言って聞かなかった。	Though I refused repeatedly, he insisted that I should go there.#ID=246777_167722
A: 私が困っている時に、その男が助けてくれました。	The man helped me when I was in trouble.#ID=246775_167724
A: 私が空港に着いたとき、飛行機はもう離陸していた。	The plane had already taken off when I reached the airport.#ID=246707_167792
A: あなたは演説をしなければいけないの？	Do you have to make a speech?#ID=246621_167877
A: あなたが援助しなかったとしたら彼は失敗するだろう。	Without your help, he would fail.#ID=246618_167880
A: 私が駅についたときには列車はすでに出発していました。	The train had already left when I got to the station.#ID=246609_167889
A: 俺が保証するよ。	I will endorse it.#ID=246536_167960
A: 私がそれをしてはいけないという理由はない。	There is no reason why I shouldn't do it.#ID=246529_167967
A: 私がそれらの手紙を読むにつれて、教皇が真犯人だと分かってきた。	As I read through the letters, I realized that the Pope was the true culprit.#ID=246527_167969
A: 私が言いたいのはそこなんだ。	That's exactly my point.#ID=246433_168062
A: 私が言いたいことをはっきり言わないでごめんなさい。	I'm sorry I didn't make myself clear.#ID=246432_168063
A: 私があの子の世話をしましょう。	I'll look after that child.#ID=246428_168067
A: 私、菜々です。山内秀樹の娘です。	I'm Nana. I'm Hideki Yamauchi's daughter.#ID=246389_168106
A: 久夫は死人のように青ざめた顔色をしていた。	Hisao's face was as pale as that of a corpse.#ID=246371_168124
A: 死んだらお金はあの世へ持っていけない。	You can't take it with you when you die.#ID=246353_168142
A: 死に憧れる者は惨めであるが、死を恐れる者はさらに惨めである。	One who longs for death is miserable, but more miserable is he who fears it.#ID=246350_168145
A: 死ぬまであなたを愛してる。	I'll love you for the rest of my days.#ID=246332_168163
A: 死ぬほど会いたい。	I'm dying to see you.#ID=246330_168165
A: 死ぬのが怖い。	I am afraid of dying.#ID=246329_168166
A: 死ぬなんて言うな。	Never say die.#ID=246328_168167
A: 死ぬことより苦痛に耐えることの方がもっと勇気がいる。	It requires more courage to suffer than to die.#ID=246326_168169
A: 死によって人間の限りある人生は終わる。	Death ends man's finite existence.#ID=246325_168171
A: 「止めないで、トニー」とリンダは言いました。	"Don't stop, Tony," said Linda.#ID=246319_168176
A: 支払いがたまっているので、すぐにもっと稼ぎの良い仕事を探す必要がある。	I need to find a better job on the double to pay my bills.#ID=246296_168198
A: 思っている事を率直に言う事は悪い事では無い。	Saying what you think frankly is not a bad thing.#ID=246226_168265
A: 我々はいつも思い通りにするわけにはいかない。	We cannot have our own way in everything.#ID=24964_168277
A: 思い出そうとしているんだよ。	I'm trying to remember.#ID=491511_168279
A: 子供達はクリスマスパーティーでお互いにプレゼントを贈り合った。	The children exchanged presents at the Christmas party.#ID=246046_168447
A: 彼女は子供達が東京に行ってしまったので、とてもさみしい思いでいる。	Her children have gone to Tokyo and she misses them very much.#ID=246031_168462
A: この本は子供を対象とした本です。	It's a book for children.#ID=246016_168476
A: 子供は分け合うことを教えられるべきである。	Children should be taught to share.#ID=502358_168489
A: 子供は大声で助けを求めた。	The child cried for help.#ID=245972_168520
A: 子供は外国語を学ぶのがたいていとても上手である。	Children are often very good at learning foreign languages.#ID=245949_168543
A: 子供はその川に近づけてはいけない。危険だから。	Children should keep away from the river. It's dangerous.#ID=245915_168577
A: 子供の頃、よく彼と一緒に釣りに行ったものだ。	When a child, I used to go fishing with him.#ID=245872_168620
A: 子供のグループを図書館に連れて行くのはどうってことなかったさ。	Taking the group of children to the library was no problem.#ID=245836_168655
A: 子供には多くのものが必要だが、まず第一に愛が要る。	Children need many things, but above all they need love.#ID=245822_168669
A: 子供たちに厳しくしないと手に負えなくなるよ。	If you are not firm with the children, they will get out of hand.#ID=245612_168783
A: 子供たちに何かあそぶ物を持たせることが必要だと思う。	I think it necessary for children to have something to play with.#ID=245707_168784
A: 子供が生まれてからめったに彼らは出かけない。	They have scarcely gone out since the baby was born.#ID=245672_168819
A: うちの子供達はしょっちゅう小遣いをせがんできます。	My children often ask me for money.#ID=2445199_168822
A: 子供が池に近づかないように気をつけてください。	Please see to it that children do not go near the pond.#ID=245611_168831
A: 子供は猿にバナナを食べさせていた。	The child was feeding the monkey with the banana.#ID=245658_168833
A: 子供からおもちゃを奪ってはいけない。	You must not deprive children of their playthings.#ID=245657_168834
A: 子どもたちは手に負えなくなりつつある。	The children are beginning to get out of hand.#ID=245615_168875
A: 姉は暇さえあれば体重を量っています。	My sister is always weighing herself.#ID=245579_168911
A: 次郎はパチンコでガッポリもうけて上機嫌だった。	Jiro was all smiles after he made a bundle at the pachinko parlor.#ID=245532_168955
A: 四半期１．２％の成長は年率４．９％の成長率を意味する。	A quarterly growth of 1.2% means an annual growth rate of 4.8%.#ID=841680_168956
A: 長方形の対辺は平行している。	The opposite sides of a rectangle are parallel.#ID=245518_168969
A: 司祭は幸せな二人の結婚を祝福した。	The priest blessed the marriage of the happy couple.#ID=245508_168979
A: 仕事を別にして彼は何の興味も持っていない。	Aside from his work, he has no other interests.#ID=245457_169029
A: それが仕事です。	It's business.#ID=433519_169172
A: 山田さんとは、明日午後６時にさくらホテルで会うことになっています。	I'm going to meet Mr Yamada at the Sakura Hotel tomorrow at 6 p.m.#ID=245107_169379
A: 参議院はどんな改正案も通さなくても構わないようです。	The Upper House seems bent on defeating any reform bills.#ID=245045_169441
A: 三角形の面積を求めてくれ。	Please find the area of the triangle.#ID=244978_169508
A: 鮭は川をさかのぼって砂に産卵する。	Salmon go up the river and lay their eggs in the sand.#ID=244921_169564
A: 桜は今が一番見頃です。	The cherry blossoms are at their best now.#ID=242068_169570
A: 昨夜ベッドで本を読んでたら、電気をつけたまま寝てしまった。	While I was reading in bed last night, I fell asleep with the light on.#ID=244847_169639
A: 昨夜なってやっとその知らせは届いた。	The news finally reached me last night.#ID=244804_169682
A: 昨年私が合衆国にいた時、日本語を話すチャンスがほとんどなかった。	Last year when I was in the United States, I had almost no opportunity to speak Japanese.#ID=244720_169766
A: 私は昨日病院へ行きました。	I went to the hospital yesterday.#ID=244671_169815
A: 昨日大統領が行った演説は支持者を喜ばせた。	The speech made by the president yesterday delighted his supporters.#ID=244633_169853
A: 彼は昨日大酒を飲んだ。	He drank hard yesterday.#ID=244632_169854
A: 昨夜大火事があった。	There was a big fire last night.#ID=244631_169855
A: 私の友人から辞書を借りた。	I borrowed the dictionary from my friend.#ID=244601_169885
A: 昨日私たちは結婚１０周年のお祝いをした。	We celebrated our tenth wedding anniversary yesterday.#ID=244595_169891
A: 昨日警察がメアリーを訪ねた。	The police called on Mary yesterday.#ID=244584_169902
A: 昨夜近所で火事があった。	Last night there was a fire in the neighborhood.#ID=2933692_169903
A: 昨日は久しぶりに旧友に会った。	Yesterday I met an old friend of mine whom I had not seen for a long time.#ID=244578_169908
A: 昨日はよく眠れましたか？	Did you have a good night last night?#ID=244495_169991
A: 昨日はあまり寒くなかった。	It was not very cold yesterday.#ID=244476_170010
A: 昨日は一日中寝ていた。	I slept all day yesterday.#ID=244472_170014
A: 昨日は激しく雨が降った。	It rained hard yesterday.#ID=244468_170018
A: 昨夜は近所で火事があって、眠れませんでした。	Last night there was a fire near here, and I couldn't sleep.#ID=244463_170023
A: 昨日の晩、私のショーを聞いてくれた？	Did you hear my show last night?#ID=244458_170028
A: 昨日は小雨だった。	There was a light rain yesterday.#ID=244433_170053
A: 今日のテストは去年のと同じだった、と誰かが言った。	Somebody told me that today's test was identical to the one we had last year.#ID=244428_170057
A: 昨日の火事のことを聞きましたか。	Did you hear about the fire yesterday?#ID=16116_170061
A: 昨日になって初めてそのことに気づいた。	It was not until yesterday that I noticed it.#ID=244411_170074
A: 昨日アメリカから来た学生に会った。	I met a student from America yesterday.#ID=244362_170122
A: サラーリマンが罪ほろぼしに僻地でひっそりと暮らしはじめた。	The salaryman went to live quietly in a remote area in order to atone for his sins.#ID=929666_170233
A: ヤッパリさんが裁判官に慈悲を求めて訴えた。	Mr. Yappari appealed to the judge for mercy.#ID=244219_170265
A: ベジタリアン用の特別メニューはありますか？	Do you have a special menu for vegetarians?#ID=244209_170275
A: ムリエルさんはバイトで細細と暮らしている。	Muriel is making a poor living from her part-time job.#ID=572349_170278
A: 祭日が日曜にダブると月曜が休みになる。	When a holiday falls on Sunday, we have an extra holiday on Monday.#ID=244192_170291
A: 済みません、電話に出て下さい。	Please answer the phone.#ID=51422_170303
A: 鳩山さんが競馬で妻子を養っていると言っています。	Hatoyama says that he supports his family by gambling on horse racing.#ID=244164_170319
A: 妻はひとつ目の猫を見て震え上がった。	My wife shuddered at the sight of a one-eyed cat.#ID=244149_170334
A: 妻に逃げられてから彼は酒を飲むようになった。	He took to drinking after his wife left him.#ID=244119_170364
A: 妻に贈るバッグをさがしているんですが。	I'm looking for a bag for my wife.#ID=244118_170365
A: 原子力事故に対して最大限の努力を尽くしております。	We are making all efforts possible to deal with the nuclear crisis.#ID=244093_170390
A: 彼は彼女を最初は好きではなかった。	He didn't like her at first.#ID=244055_170429
A: ２０１１年の最初の月の利益も１００万円を越えました。	The revenues for the first month of 2011 exceed 1 000 000 yen.#ID=244023_170460
A: 追加の最終締め切りは６月１０日朝7時です。	The new final deadline is at 7 o'clock on June 10th.#ID=243967_170515
A: 最高裁判所は皇居の近くにある。	The Supreme Court is located near the Imperial Palace.#ID=243949_170533
A: 俺は最後まで闘うつもりだ。	I intend on fighting till the end.#ID=243936_170546
A: 最後のつめにはいるときです。	It's time to move in for the kill.#ID=243918_170563
A: 最近社会に多くの変化があった。	Society has seen a lot of change recently.#ID=243841_170640
A: 最近パソコンを始めた。	I started using PCs recently.#ID=243809_170673
A: 最も多くを制する者は、なるべくなりをひそめる。	They that govern the most make the least noise.#ID=243696_170784
A: 座がしらけないように話をした。	I kept the ball rolling by talking.#ID=1543434_170858
A: 左手で書いてみようとした。	I tried to write with my left hand.#ID=243562_170918
A: 左から５人目の男にキスしなさい。	Kiss the fifth man from the left.#ID=243544_170936
A: 彼女はいつも些細なことで悩んでいる。	She's always worrying about trifles.#ID=243524_170956
A: 困った事には自動車を駐車した場所が思い起こせない。	The trouble is that I can't remember where I parked the car.#ID=243465_171015
A: 困ったことに、声がほとんど出ないのです。	The trouble is, she's almost lost her voice.#ID=243434_171045
A: 今夜はぜんぜん勉強する気にならない。	I don't feel like studying at all tonight.#ID=243336_171141
A: 僕は君をみつけた。	I found you.#ID=243290_171187
A: 今晩そちらにお電話いたします。	I'll call you up this evening.#ID=243209_171268
A: 今年の冬は雪が少ないだろう。	We'll have little snow this winter.#ID=243111_171364
A: これは今日発行の朝日新聞ですか。	Is this today's issue of the Asahi Shimbun?#ID=243052_171423
A: 今日もとても眠い。	I'm very sleepy today, too.#ID=243004_171472
A: 今日ますます多くの人が、都市の生活よりも田舎の生活を好むようになっています。	Nowadays more and more people prefer country life to city life.#ID=242478_171479
A: 今日はとても忙しいから一緒に行けないの。	I can't go with you today because I'm very busy.#ID=2805059_171497
A: 今月は売上が落ちた。	Sales are down this month.#ID=242956_171520
A: 今日は少し体調が悪い。	I feel a little bad today.#ID=242889_171577
A: 今日は昨日より風がよく吹く。	There's more wind today than yesterday.#ID=622391_171620
A: 今日は嫌なことがあったから、ビール飲んでさっさと寝ることにしようーっと。	I had an awful experience today, so I'm going to have a beer and go straight to bed.#ID=242837_171639
A: 今日は学校がない。	There is no school today.#ID=242804_171672
A: 今日は家にいた方が良い。	You should stay at home today.#ID=242793_171682
A: 今日は泳ぎたくないの？	Don't you want to swim today?#ID=242776_171699
A: 今日は割り勘にしよう。	Let's go Dutch today.#ID=242762_171713
A: クラスの全員が週に一回出席します。	The whole class is present once a week.#ID=242682_171793
A: 今日は昨日よりは体調がいい。	I feel better today than yesterday.#ID=242678_171797
A: こんにちは、私、ナンシーよ！	Hello, it's me, Nancy!#ID=389393_171827
A: 今日になってようやく事の詳細を知りました。	Only today did I know the details of the matter.#ID=242482_171993
A: 今度は何を弾いてくれるんだ。	What are you going to play?#ID=242370_172105
A: 今度の学校の方がいいですか。	Do you like the new school better?#ID=242300_172175
A: 今度来た先生は、先生というより友達みたいだ。	The new teacher is more like a friend than a teacher.#ID=242277_172198
A: 今朝は郵便がたくさんきた。	I got a lot of mail this morning.#ID=242227_172248
A: 今人気の「おばあちゃんの食卓」に行ったことがありますか。	Have you been to Grandma's Table which is very popular now?#ID=242140_172335
A: 今週メアリーは期末試験の準備のために夜遅くまで起きている。	Mary is sitting up late this week to prepare for her finals.#ID=242111_172364
A: 来週の今日、私は英国にいるでしょう。	Today week I'll be in England.#ID=242088_172387
A: 今私たちに必要なのは休養です。	What we need now is a rest.#ID=242071_172403
A: 今最後の仕上げをするところです。	I'm adding the finishing touches now.#ID=1223574_172408
A: 今月は給料が多かった。	My salary was high this month.#ID=242025_172450
A: この本はこの詩人の最高傑作の一つだ。	This book is one of the poet's best works.#ID=241968_172507
A: 彼は今もいい人だから将来もいい夫になるよ。	He's a good guy now, so he'll make a good husband in the future.#ID=435628_172557
A: 今、彼はずっと調子がよいようだ。	He looks much better now.#ID=241914_172561
A: 今まではそれで良かった。	So far, so good.#ID=55348_172579
A: 「今は何時なんでしょう？」「３時３０分です。」	"What time is it now?" "It's 3:30."#ID=241815_172660
A: 今はあまり時間がないのです。	I don't have much time now.#ID=241793_172682
A: 彼は出張中です。	He's out of town on business.#ID=241788_172687
A: 現在の時刻は？	What time is it now?#ID=455073_172705
A: 今の私は、あなたと初めて会ったころの私ではありません。	I am not the man I was when you knew me first.#ID=241768_172707
A: 今すぐ事務所に行ってもいいでしょうか。	Can I come to your office now?#ID=241654_172819
A: 今、私が彼にやってもらいたいことは、塀のペンキ塗りです。	What I want him to do now is to paint the fence.#ID=241559_172914
A: 此の状況を利用すべきだ。	We have to take advantage of this situation.#ID=241529_172944
A: 骨の髄までひえた。	I was chilled to the bone.#ID=241517_172956
A: 白黒まだらの犬が私にかみついた。	A black and white dog bit me.#ID=241496_172977
A: 彼は黒いズボンをはき、美しい白いワイシャツを着ていました。	He was wearing black trousers and a beautiful white shirt.#ID=241479_172995
A: ひどい風邪を引いて、1週間寝込んでいた。	I was flat on my back for a week with a terrible cold.#ID=241476_172997
A: 国際アムネスティは、政治囚への支援として一般市民による抗議活動を組織することがしばしばある。	Amnesty International often organizes public protests in support of political prisoners.#ID=241411_173061
A: 鉄腕アトムが国を危険から守った。	Astro Boy protected the country from danger.#ID=241361_173110
A: 合言葉は『山』です。誰かが「山」と言ったら「川」と返すのです。	The password is "Mountain". If someone says "Mountain", you reply "River".#ID=241310_173161
A: リサーチ・イン・モーションが約２千人の従業員解雇と組織再編を発表した.	Research in Motion announced the layoff of 2000 employees and a restructuring of the company.#ID=241294_173177
