Word	Reading	JLPT	Meaning
勧める	すすめる	JLPT N3	[Ichidan verb, Transitive verb] 1. to recommend; to advise; to encourage; to offer (wine) | Other forms: 薦める 【すすめる】、奨める 【すすめる】
進める	すすめる	JLPT N3	[Ichidan verb, Transitive verb] 1. to advance; to promote; to hasten
スター	スター	JLPT N3	[Noun] 1. star (cinema, sports, etc.); celebrity; idol 2. star symbol; asterisk {e.g. ★ or ☆} 3. (celestial) star
スタイル	スタイル	JLPT N3	[Noun] 1. figure; body build 2. style [Wikipedia definition] 3. Style
スタンド	スタンド	JLPT N3	[Noun] 1. stands; bleachers 2. stand (e.g. newspaper stand); counter (e.g. lunch counter) 3. stand (e.g. inkstand) 4. desk lamp; floor lamp; standard lamp {Abbreviation, See also 電気スタンド でんきスタンド} 5. station (e.g. gas station) {See also ガソリンスタンド} [Wikipedia definition] 6. Stand
頭痛	ずつう	JLPT N3	[Noun] 1. headache
ずっと	ずっと	JLPT N3	[Adverb] 1. continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way {ずーっと and ずうっと are more emphatic} 2. much (better, etc.); by far; far and away 3. far away; long ago 4. direct; straight | Other forms: ずーっと、ずうっと [Notes] ずっと: ichi1. ずーっと: spec1.
素敵	すてき	JLPT N3	[Na-adjective] 1. lovely; dreamy; beautiful; great; fantastic; superb; cool; capital | Other forms: 素的 【すてき】、素適 【すてき】 [Notes] 素敵: Ateji (phonetic) reading. 素的: Ateji (phonetic) reading. 素適: Ateji (phonetic) reading.
既に	すでに	JLPT N3	[Adverb] 1. already; too late {Usually written using kana alone} | Other forms: 既に 【すんでに】、已に 【すでに】、已に 【すんでに】 [Notes] 已に: Out-dated kanji. 已に: Out-dated kanji.
即ち	すなわち	JLPT N3	[Adverb, Conjunction] 1. that is; namely; i.e. {Usually written using kana alone} | Other forms: 則ち 【すなわち】、乃ち 【すなわち】、輒 【すなわち】
素晴らしい	すばらしい	JLPT N3	[I-adjective] 1. wonderful; splendid; magnificent | Other forms: 素晴らしい 【すんばらしい】、素晴しい 【すばらしい】、素晴しい 【すんばらしい】、素薔薇しい 【すばらしい】、素薔薇しい 【すんばらしい】 [Notes] 素薔薇しい: Irregular kanji usage. 素薔薇しい: Irregular kanji usage.
スピーチ	スピーチ	JLPT N3	[Noun] 1. speech [Notes] スピーチ: gai1, ichi1.
全て	すべて	JLPT N3	[Noun, No-adjective] 1. everything; all; the whole {Usually written using kana alone} [Adverb] 2. entirely; completely; wholly; all {Usually written using kana alone} | Other forms: 総て 【すべて】、凡て 【すべて】、惣て 【すべて】、渾て 【すべて】、総べて 【すべて】 [Notes] 総べて: Irregular okurigana usage.
済ませる	すませる	JLPT N3	[Ichidan verb, Transitive verb] 1. to finish; to make an end of; to get through with; to let end
済みません	すみません	JLPT N3	[Expression] 1. excuse me; pardon me; I'm sorry {Usually written using kana alone, Polite (teineigo)} 2. thank you {Usually written using kana alone, Polite (teineigo)}
為る	する	JLPT N5	[Suru verb - irregular] 1. to do {Usually written using kana alone} 2. to cause to become; to make (into); to turn (into) {Usually written using kana alone} 3. to serve as; to act as; to work as {Usually written using kana alone} 4. to wear (clothes, a facial expression, etc.) {Usually written using kana alone} 5. to judge as being; to view as being; to think of as; to treat as; to use as {Usually written using kana alone, as 〜にする,〜とする} 6. to decide on; to choose {Usually written using kana alone, as 〜にする} [Suru verb - irregular, intransitive verb] 7. to be sensed (of a smell, noise, etc.) {Usually written using kana alone, as 〜がする} 8. to be (in a state, condition, etc.) {Usually written using kana alone} 9. to be worth; to cost {Usually written using kana alone} 10. to pass (of time); to elapse {Usually written using kana alone} [Suru verb - irregular, Transitive verb] 11. to place, or raise, person A to a post or status B {Usually written using kana alone, form (for senses 11-14) : AをBにする} 12. to transform A to B; to make A into B; to exchange A for B {Usually written using kana alone} 13. to make use of A for B; to view A as B; to handle A as if it were B {Usually written using kana alone} 14. to feel A about B {Usually written using kana alone} [Suffix, Suru verb - irregular] 15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech "vs") {Usually written using kana alone} [Auxiliary verb, Suru verb - irregular] 16. creates a humble verb (after a noun prefixed with "o" or "go") {Usually written using kana alone, See also お願いします, See also 御} 17. to be just about to; to be just starting to; to try to; to attempt to {Usually written using kana alone, See also とする, as 〜うとする,〜ようとする}
すると	すると	JLPT N4	[Conjunction] 1. thereupon; hereupon
鋭い	するどい	JLPT N3	[I-adjective] 1. sharp (blade); pointed 2. sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) 3. perceptive; keen; quick (mind); astute; shrewd; discerning 4. nimble; agile; quick
性	せい	JLPT N3	[Noun] 1. nature (of a person) 2. sex 3. gender [Suffix] 4. -ty; -ity; -ness; -cy {indicating quality or condition}
所為	せい	JLPT N3	[Noun] 1. consequence; outcome; result; blame {Usually written using kana alone, often ...のせい} | Other forms: 所為 【せえ】 [Notes] せえ: Irregular kana usage.
正	せい	JLPT N3	[Noun, No-adjective] 1. (logical) true; regular [Numeric] 2. 10^40; ten thousand undecillion [Noun, No-adjective] 3. original {Abbreviation, See also 正本 せいほん} 4. positive; greater than zero {Mathematics, See also 負 ふ}
背	せい	JLPT N3	[Noun] 1. height; stature {See also 背 せ} | Other forms: 脊 【せい】
税	ぜい	JLPT N3	[Noun, Suffix] 1. tax
性格	せいかく	JLPT N3	[Noun] 1. character; personality; disposition; nature
正確	せいかく	JLPT N3	[Na-adjective, Noun] 1. accurate; punctual; exact; authentic; veracious; correct {See also 精確}
世紀	せいき	JLPT N3	[Noun] 1. century; era
請求	せいきゅう	JLPT N3	[Noun, Suru verb] 1. claim; demand; charge; application; request; billing (for a service)
税金	ぜいきん	JLPT N3	[Noun] 1. tax; duty
清潔	せいけつ	JLPT N3	[Na-adjective, Noun] 1. clean; hygienic; sanitary 2. pure; virtuous; immaculate
制限	せいげん	JLPT N3	[Noun, Suru verb] 1. restriction; restraint; limitation; limit
成功	せいこう	JLPT N3	[Noun, Suru verb] 1. success; hit
生産	せいさん	JLPT N4	[Noun, Suru verb] 1. production; manufacture
正式	せいしき	JLPT N3	[Na-adjective, No-adjective, Noun] 1. due form; official; formality
精神	せいしん	JLPT N3	[Noun] 1. mind; soul; heart; spirit; intention
成人	せいじん	JLPT N3	[Noun] 1. adult [Suru verb] 2. to grow up; to mature 3. to come of age {See also 新成人}
精々	せいぜい	JLPT N3	[Adverb] 1. at the most; at best; to the utmost; as much (far) as possible {Usually written using kana alone} | Other forms: 精精 【せいぜい】
成績	せいせき	JLPT N3	[Noun] 1. results; record; grades; marks
製造	せいぞう	JLPT N3	[Noun, Suru verb, No-adjective] 1. manufacture; production
贅沢	ぜいたく	JLPT N3	[Na-adjective, Noun] 1. luxury; extravagance [Suru verb] 2. to live in luxury
成長	せいちょう	JLPT N3	[Noun, Suru verb] 1. growth; grow to adulthood
制度	せいど	JLPT N3	[Noun, No-adjective] 1. system; institution; organization; organisation
制度	せいど	JLPT N3	[Noun, No-adjective] 1. system; institution; organization; organisation
青年	せいねん	JLPT N3	[Noun] 1. youth; young man
製品	せいひん	JLPT N3	[Noun] 1. manufactured goods; finished goods; product
政府	せいふ	JLPT N3	[Noun] 1. government; administration
生物	せいぶつ	JLPT N3	[Noun, No-adjective] 1. living things; creature [Noun] 2. biology {Abbreviation, See also 生物学}
生命	せいめい	JLPT N3	[Noun] 1. life; existence
整理	せいり	JLPT N3	[Noun, Suru verb] 1. sorting; arrangement; organization; putting in order; adjustment; regulation 2. liquidation; settlement; consolidation; clearance (e.g. debt); paying off 3. retrenchment; curtailment; cutting down; disposal
咳	せき	JLPT N3	[Noun] 1. cough; coughing; tussis | Other forms: 咳 【しわぶき】
石炭	せきたん	JLPT N3	[Noun] 1. coal | Other forms: 石炭 【いしずみ】 [Notes] いしずみ: Out-dated or obsolete kana usage.
責任	せきにん	JLPT N3	[Noun] 1. duty; responsibility (incl. supervision of staff) 2. liability; onus
石油	せきゆ	JLPT N3	[Noun] 1. oil; petroleum; kerosene
世間	せけん	JLPT N3	[Noun] 1. world; society
説	せつ	JLPT N3	[Noun, Noun - used as a suffix] 1. theory; doctrine [Noun] 2. opinion; view 3. rumour; rumor; gossip; hearsay
積極的	せっきょくてき	JLPT N3	[Na-adjective] 1. assertive; positive; active; proactive {See also 積極性}
設計	せっけい	JLPT N3	[Noun, Suru verb] 1. plan; design; layout
絶対	ぜったい	JLPT N3	[Adverb] 1. absolutely; unconditionally {See also 絶対に} [No-adjective] 2. absolute; unconditional; unmistakable [Noun] 3. absoluteness {Antonym: 相対 そうたい}
セット	セット	JLPT N3	[Noun, Suru verb] 1. set 2. set meal {as in ビッグマックセット} 3. hairdo [Place] 4. Sete [Notes] セット: gai1, ichi1.
設備	せつび	JLPT N3	[Noun, Suru verb] 1. equipment; device; facilities; installation
節約	せつやく	JLPT N3	[Noun, Suru verb] 1. economising; saving
是非	ぜひ	JLPT N3	[Adverb, Noun] 1. certainly; without fail {Usually written using kana alone} 2. right and wrong; pros and cons
責める	せめる	JLPT N3	[Ichidan verb, Transitive verb] 1. to condemn; to blame; to criticize; to criticise; to reproach; to accuse 2. to urge; to press; to pester 3. to torture; to torment; to persecute 4. to break in (a horse)
世話	せわ	JLPT N3	[Noun, Suru verb] 1. looking after; help; aid; assistance
善	ぜん	JLPT N3	[Noun] 1. good; goodness; right; virtue {Antonym: 悪 あく}
全員	ぜんいん	JLPT N3	[Adverbial noun, Noun] 1. all members (unanimity); all hands; the whole crew; everyone; everybody
全国	ぜんこく	JLPT N3	[Noun, No-adjective] 1. countrywide; nationwide; whole country; national
先日	せんじつ	JLPT N3	[Adverbial noun, Temporal noun] 1. the other day; a few days ago
前者	ぜんしゃ	JLPT N3	[Noun] 1. the former
選手	せんしゅ	JLPT N3	[Noun] 1. player (in game); team member
前進	ぜんしん	JLPT N3	[Noun, Suru verb] 1. advance; drive; progress
前進	ぜんしん	JLPT N3	[Noun, Suru verb] 1. advance; drive; progress
全然	ぜんぜん	JLPT N3	[Adverb] 1. not at all (with neg. verb) 2. wholly; entirely; completely
全然	ぜんぜん	JLPT N3	[Adverb] 1. not at all (with neg. verb) 2. wholly; entirely; completely
センター	センター	JLPT N3	[Noun] 1. centre; center [Place] 2. Senta | Other forms: センタ [Notes] センター: gai1, ichi1.
全体	ぜんたい	JLPT N3	[Adverbial noun, Temporal noun] 1. whole; entirety; whatever (is the matter)
選択	せんたく	JLPT N3	[Noun, Suru verb] 1. selection; choice; option
そう	そう	JLPT N4	[Adverb] 1. so; really; seeming [Na-adjective, Suffix] 2. appearing that; seeming that; looking like; having the appearance of {after masu stem or adj-stem}
象	ぞう	JLPT N3	[Noun] 1. elephant (Elephantidae spp.) | Other forms: ゾウ
騒音	そうおん	JLPT N3	[Noun] 1. noise
増加	ぞうか	JLPT N3	[Noun, Suru verb] 1. increase; rise; growth; addition; increment {Antonym: 減少}
操作	そうさ	JLPT N3	[Noun, Suru verb] 1. operation; management; handling 2. manipulating to one's benefit
想像	そうぞう	JLPT N3	[Noun, Suru verb, No-adjective] 1. imagination; guess
相続	そうぞく	JLPT N3	[Noun, Suru verb] 1. succession; inheritance
相談	そうだん	JLPT N3	[Noun, Suru verb] 1. consultation; discussion
装置	そうち	JLPT N3	[Noun, Suru verb] 1. equipment; installation; apparatus; device
相当	そうとう	JLPT N3	[Noun, Suru verb, No-adjective] 1. corresponding to (in meaning, function, etc.); being equivalent to [Na-adjective, No-adjective] 2. appropriate; suitable; befitting; proportionate [Suru verb] 3. to be proportionate to; to be in keeping with; to be deserving of; to be worthy of [Na-adjective, No-adjective] 4. considerable; substantial [Adverb] 5. considerably; rather; quite; fairly; pretty
速度	そくど	JLPT N3	[Noun] 1. speed; velocity; rate
底	そこ	JLPT N3	[Noun] 1. bottom; sole
其処で	そこで	JLPT N3	[Conjunction] 1. so; accordingly; now; then; thereupon; therefore {Usually written using kana alone}
組織	そしき	JLPT N3	[Noun, Suru verb] 1. organization; organisation; formation 2. structure; construction; setup; constitution [Noun] 3. system (e.g. railroad, transport, party, etc.) 4. tissue {Biology term} 5. texture (of a rock) {Geology, etc. term, See also 石理} [Noun, Suru verb] 6. weave (of a fabric) | Other forms: 組織 【そしょく】、組職 【そしき】、組職 【そしょく】 [Notes] そしょく: Out-dated or obsolete kana usage. 組職: Irregular kanji usage. そしょく: Out-dated or obsolete kana usage. 組職: Irregular kanji usage.
然して	そして	JLPT N5	[Conjunction] 1. and; and then; thus; and now {Usually written using kana alone} | Other forms: 然して 【しかして】、而して 【そして】、而して 【しかして】
注ぐ	そそぐ	JLPT N3	[Godan verb with gu ending, Transitive verb] 1. to pour (into) {See also 注ぐ つぐ} 2. to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray 3. to shed (tears) 4. to concentrate one's energy (strength, attention, etc.) on; to devote to; to fix (one's eyes) on [Godan verb with gu ending, intransitive verb] 5. to flow into (e.g. of a river); to run into; to drain into 6. to fall (of rain, snow); to pour down | Other forms: 灌ぐ 【そそぐ】、潅ぐ 【そそぐ】、濺ぐ 【そそぐ】、漑ぐ 【そそぐ】
注ぐ	そそぐ	JLPT N3	[Godan verb with gu ending, Transitive verb] 1. to pour (into) {See also 注ぐ つぐ} 2. to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray 3. to shed (tears) 4. to concentrate one's energy (strength, attention, etc.) on; to devote to; to fix (one's eyes) on [Godan verb with gu ending, intransitive verb] 5. to flow into (e.g. of a river); to run into; to drain into 6. to fall (of rain, snow); to pour down | Other forms: 灌ぐ 【そそぐ】、潅ぐ 【そそぐ】、濺ぐ 【そそぐ】、漑ぐ 【そそぐ】
育つ	そだつ	JLPT N3	[Godan verb with tsu ending, intransitive verb] 1. to be raised (e.g. child); to be brought up; to grow (up)
そっくり	そっくり	JLPT N3	[Adverb] 1. all; altogether; entirely; completely {Onomatopoeic or mimetic word} [Na-adjective] 2. exactly like; just like {Onomatopoeic or mimetic word}
率土	そっと	JLPT N3	[Noun] 1. face of the earth
袖	そで	JLPT N3	[Noun] 1. sleeve 2. wing (of a stage, desk, gate, etc.)
備える	そなえる	JLPT N3	[Ichidan verb, Transitive verb] 1. to furnish; to provide for; to equip; to install 2. to have ready; to prepare for 3. to possess (all that is needed); to be endowed with; to be armed with [Ichidan verb, Irregular ru verb, plain form ends with -ri] 4. to be born with; to have since birth | Other forms: 具える 【そなえる】
其の	その	JLPT N5	[Pre-noun adjectival] 1. that (something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener); the {Usually written using kana alone, See also 何の どの, See also 此の, See also 其れ, See also 彼の} 2. um...; er...; uh...
その内	そのうち	JLPT N3	[Adverb] 1. before very long; soon; eventually; sooner or later; of the previously mentioned {Usually written using kana alone} | Other forms: 其の内 【そのうち】
其の儘	そのまま	JLPT N3	[No-adjective] 1. without change; as it is (i.e. now) {Usually written using kana alone} 2. just like; extremely similar {Usually written using kana alone} [Adverb] 3. immediately; just after; without a pause {Usually written using kana alone} | Other forms: 其のまま 【そのまま】、其の儘 【そのまんま】
側	そば	JLPT N5	[Noun] 1. near; close; beside; vicinity; proximity; besides; while {Usually written using kana alone} 2. third person {Only applies to はた} | Other forms: 傍 【そば】、側 【そく】、側 【はた】、傍 【はた】、端 【はた】
ソファ	ソファ	JLPT N3	[Noun] 1. sofa; couch | Other forms: ソファー
粗末	そまつ	JLPT N3	[Na-adjective, Noun] 1. crude; rough; plain; humble; shabby {See also お粗末}
其れ	それ	JLPT N5	[Pronoun, No-adjective] 1. that (indicating an item or person near the listener, the action of the listener, or something on their mind); it {Usually written using kana alone, See also 何れ, See also 此れ, See also 彼 あれ} 2. that time; then 3. there (indicating a place near the listener) {Archaism} 4. you {Archaism} | Other forms: 其 【それ】 [Notes] それ: ichi1. 其れ: ichi1. それ: ichi1. 其: Irregular okurigana usage.
夫れ夫れ	それぞれ	JLPT N3	[Adverbial noun, No-adjective] 1. each; respectively {Usually written using kana alone} | Other forms: 其れ其れ 【それぞれ】、夫々 【それぞれ】、夫夫 【それぞれ】、其々 【それぞれ】、其其 【それぞれ】 [Notes] 其々: Irregular okurigana usage. 其其: Irregular okurigana usage.
其れでも	それでも	JLPT N3	[Conjunction] 1. but (still); and yet; nevertheless; even so; notwithstanding {Usually written using kana alone}
其れ共	それとも	JLPT N3	[Conjunction] 1. or; or else {Usually written using kana alone}
損	そん	JLPT N3	[Na-adjective, Noun, Noun - used as a suffix] 1. loss; damage; harm; unprofitable 2. disadvantage; handicap; drawback; unfavorable
損害	そんがい	JLPT N3	[Noun, Suru verb] 1. damage; injury; loss
尊敬	そんけい	JLPT N3	[Noun, Suru verb] 1. respect; esteem; reverence; honour; honor
存在	そんざい	JLPT N3	[Noun, Suru verb, No-adjective] 1. existence; being
尊重	そんちょう	JLPT N3	[Noun, Suru verb] 1. respect; esteem; regard
尊重	そんちょう	JLPT N3	[Noun, Suru verb] 1. respect; esteem; regard
他	た	JLPT N3	[Adverbial noun, Noun, No-adjective] 1. other (esp. people and abstract matters)
田	た	JLPT N3	[Noun] 1. rice field
台	だい	JLPT N3	[Noun, Noun - used as a suffix] 1. stand; rack; table; bench; podium; pedestal; platform; stage 2. support; holder; rack [Counter] 3. counter for machines, incl. vehicles [Noun] 4. setting (e.g. in jewellery) [Noun, Noun - used as a suffix, Counter] 5. level (e.g. price level); range (e.g. after physical units); period (of time, e.g. a decade of one's life) {See also 代 だい, See also 代 だい} [Noun] 6. elevated area 7. viewing platform 8. dish tray {See also 台盤} 9. meal {Archaism} 10. tall building; tower {Archaism, See also 高殿}
題	だい	JLPT N3	[Noun] 1. title; subject; theme; topic 2. problem (on a test); question [Noun - used as a suffix, Counter] 3. counter for questions (on a test)
体育	たいいく	JLPT N3	[Noun] 1. physical education; gymnastics; athletics
体温	たいおん	JLPT N3	[Noun] 1. temperature; body temperature (human, animal)
大会	たいかい	JLPT N3	[Noun, No-adjective] 1. convention; tournament; mass meeting; rally
大気	たいき	JLPT N3	[Noun] 1. atmosphere | Other forms: 大氣 【たいき】 [Notes] 大氣: Out-dated kanji.
代金	だいきん	JLPT N3	[Noun] 1. price; payment; cost; charge; the money; the bill
退屈	たいくつ	JLPT N3	[Na-adjective, Noun, Suru verb] 1. tedium; boredom | Other forms: 怠屈 【たいくつ】 [Notes] 怠屈: Out-dated kanji.
大使	たいし	JLPT N3	[Noun, No-adjective] 1. ambassador
大した	たいした	JLPT N3	[Pre-noun adjectival] 1. considerable; great; important; significant; a big deal
対象	たいしょう	JLPT N3	[Noun, No-adjective] 1. target; object (of worship, study, etc.); subject (of taxation, etc.)
大臣	だいじん	JLPT N3	[Noun] 1. cabinet minister
対する	たいする	JLPT N3	[Suru verb - special class] 1. to face (each other); to be facing 2. to be directed toward (the future, etc.); to be in response to; to be related to 3. to receive (a client, etc.) 4. to compare with; to contrast with; to be in opposition with; to be opposed to 5. to confront; to oppose; to compete with
大戦	たいせん	JLPT N3	[Noun] 1. great war; great battle
大抵	たいてい	JLPT N4	[Na-adjective, Adverb, Noun] 1. mostly; ordinarily; usually; generally {Usually written using kana alone} 2. probably [No-adjective, Noun] 3. most; almost all 4. ordinary {before a neg. form} [Na-adjective] 5. proper; appropriate; moderate {usu. as 〜にする} | Other forms: 大てい 【たいてい】
態度	たいど	JLPT N3	[Noun, No-adjective] 1. attitude; manner; behaviour
態度	たいど	JLPT N3	[Noun, No-adjective] 1. attitude; manner; behaviour
大統領	だいとうりょう	JLPT N3	[Noun] 1. president; chief executive
大半	たいはん	JLPT N3	[Noun, No-adjective] 1. majority; more than half; most (of) [Adverbial noun] 2. mostly; largely; mainly; predominately; nearly
代表	だいひょう	JLPT N3	[Noun, Suru verb, No-adjective] 1. representative; representation; delegation; type; example; model
大部分	だいぶぶん	JLPT N3	[Noun] 1. most part; greater part; majority {Antonym: 小部分}
タイプライター	タイプライター	JLPT N3	[Noun] 1. typewriter | Other forms: タイプライタ
逮捕	たいほ	JLPT N3	[Noun, Suru verb] 1. arrest; apprehension; capture
ダイヤ	ダイヤ	JLPT N3	[Noun] 1. diamond {Abbreviation, See also ダイヤモンド} 2. (railway) schedule 3. diagram {Abbreviation} 4. dyer | Other forms: ダイア
太陽	たいよう	JLPT N3	[Noun] 1. sun; solar
平ら	たいら	JLPT N3	[Na-adjective, Noun] 1. flatness; level; smooth; calm; plain; sitting tailor fashion
代理	だいり	JLPT N3	[Noun, Suru verb, No-adjective] 1. representation; agency; proxy; deputy; agent; attorney; substitute; alternate; acting (principal, etc.)
大陸	たいりく	JLPT N3	[Noun, No-adjective] 1. continent [Noun] 2. continental Asia (esp. mainland China) 3. continental Europe
タオル	タオル	JLPT N3	[Noun] 1. towel [Notes] タオル: gai1, ichi1.
だが	だが	JLPT N3	[Conjunction] 1. but; however; (and) yet; nevertheless; still; for all that | Other forms: ですが
互い	たがい	JLPT N3	[Noun] 1. mutual; reciprocal
宝	たから	JLPT N3	[Noun] 1. treasure | Other forms: 財 【たから】、貨 【たから】、寳 【たから】、寶 【たから】
だから	だから	JLPT N4	[Conjunction] 1. so; therefore {See also ですから}
宅	たく	JLPT N3	[Noun] 1. house; home; husband
だけど	だけど	JLPT N3	[Conjunction] 1. however
確かめる	たしかめる	JLPT N3	[Ichidan verb, Transitive verb] 1. to ascertain; to check; to make sure | Other forms: 慥かめる 【たしかめる】
多少	たしょう	JLPT N3	[Adverb, No-adjective] 1. more or less; somewhat; a little; a few; some [Noun] 2. amount; quantity
助ける	たすける	JLPT N3	[Ichidan verb, Transitive verb] 1. to save; to rescue 2. to help; to assist 3. to aid; to contribute (financially) 4. to facilitate; to stimulate | Other forms: 援ける 【たすける】、救ける 【たすける】、扶ける 【たすける】、佐ける 【たすける】、佑ける 【たすける】、輔ける 【たすける】
只	ただ	JLPT N3	[No-adjective, Noun] 1. ordinary; common; usual {Usually written using kana alone} 2. free of charge {Usually written using kana alone, only 只} 3. unaffected; as is; safe {usu. as ただでは...} [Adverb] 4. only; merely; just; simply [Conjunction] 5. but; however; nevertheless {esp. 但} | Other forms: 唯 【ただ】、徒 【ただ】、但 【ただ】、常 【ただ】、タダ
戦い	たたかい	JLPT N3	[Noun] 1. battle; fight; struggle; conflict | Other forms: 闘い 【たたかい】 [Notes] たたかい: ichi1, news1, nf03. 戦い: ichi1, news1, nf03. たたかい: ichi1, news1, nf03.
戦う	たたかう	JLPT N3	[Godan verb with u ending, intransitive verb] 1. to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) {esp. 戦う} 2. to compete (against) {esp. 戦う} 3. to struggle (against adversities, etc.); to fight; to contend; to resist {esp. 闘う} | Other forms: 闘う 【たたかう】
叩く	たたく	JLPT N3	[Godan verb with ku ending, Transitive verb] 1. to strike; to clap; to knock; to beat; to tap; to pat 2. to play drums 3. to abuse; to flame (e.g. on the Internet); to insult 4. to consult; to sound out 5. to brag; to talk big 6. to call; to invoke (e.g. a function) {Computer terminology} | Other forms: 敲く 【たたく】 [Notes] 敲く: Out-dated kanji.
直ちに	ただちに	JLPT N3	[Adverb] 1. at once; immediately; directly; in person; automatically
立ち上がる	たちあがる	JLPT N3	[Godan verb with ru ending, intransitive verb] 1. to stand up; to get up 2. to rise 3. to recover 4. to take action; to start 5. to make the initial charge {Sumo term} 6. to start up; to boot up {Computer terminology} | Other forms: 立上がる 【たちあがる】、起ち上がる 【たちあがる】、立ちあがる 【たちあがる】
立場	たちば	JLPT N3	[Noun] 1. standpoint; position; situation
経つ	たつ	JLPT N3	[Godan verb with tsu ending, intransitive verb] 1. to pass; to lapse
達する	たっする	JLPT N3	[Suru verb - special class] 1. to reach; to get to; to arrive at
たった	たった	JLPT N3	[Noun or verb acting prenominally, Adverb] 1. only; merely; but; no more than
だって	だって	JLPT N3	[Conjunction] 1. after all; because {Colloquialism} 2. but {Colloquialism} [Particle] 3. even 4. too; as well; also 5. they say; I hear; you mean
たっぷり	たっぷり	JLPT N3	[Adverb, Adverb taking the 'to' particle, Noun, No-adjective, Na-adjective] 1. full; in plenty; ample {Onomatopoeic or mimetic word}
縦	たて	JLPT N5	[Noun] 1. the vertical; height 2. front-to-back; length 3. north-to-south [Noun, No-adjective] 4. vertical (relationship); hierarchy [Noun] 5. (weaving) warp {See also 経糸 たていと} | Other forms: 竪 【たて】、経 【たて】
例え	たとえ	JLPT N3	[Noun] 1. example {esp. 例え} 2. simile; metaphor; allegory; fable; parable {esp. 譬え, 喩え} | Other forms: 譬え 【たとえ】、喩え 【たとえ】
谷	たに	JLPT N3	[Noun] 1. valley | Other forms: 渓 【たに】、谿 【たに】
他人	たにん	JLPT N3	[Noun] 1. another person; other people; others {See also 人 ひと} 2. unrelated person (i.e. not related by blood) {Only applies to たにん} 3. outsider; stranger {Only applies to たにん} | Other forms: 他人 【ひと】、他人 【あだびと】 [Notes] ひと: Gikun (meaning as reading) or jukujikun (special kanji reading). あだびと: Out-dated or obsolete kana usage.
種	たね	JLPT N3	[Noun] 1. seed (e.g. of a plant); pip; kind; variety; quality; tone 2. material (e.g. for an article); matter (e.g. of a story); subject; theme; (news) copy 3. ingredient; leaven (bread); main ingredient of a sushi {Food term} 4. cause; source 5. trick; secret; magician's trick; inside story 6. paternal blood; lineage {See also 胤} 7. breed (of a stock); sperm; semen
束	たば	JLPT N3	[Noun, Noun - used as a suffix, Counter] 1. bundle; bunch; sheaf | Other forms: 把 【たば】 [Notes] たば: ichi1, news1, nf18. 束: ichi1, news1, nf18. たば: ichi1, news1, nf18.
度	たび	JLPT N3	[Noun, Noun - used as a suffix, Counter] 1. time (three times, each time, etc.); times [Wikipedia definition] 2. Degree | Other forms: たんび
旅	たび	JLPT N3	[Noun, Suru verb] 1. travel; trip; journey
度々	たびたび	JLPT N3	[Adverb] 1. often; again and again; over and over again; repeatedly; frequently {Usually written using kana alone} | Other forms: 度度 【たびたび】
多分	たぶん	JLPT N5	[Adverb] 1. perhaps; probably [Na-adjective, No-adjective] 2. generous; many; much; great
玉	たま	JLPT N3	[Noun] 1. ball; sphere; globe; orb 2. bead (of sweat, dew, etc.); drop; droplet 3. ball (in sports) {esp. 球} 4. pile (of noodles, etc.) 5. bullet {esp. 弾; also written as 弾丸} 6. bulb (i.e. a light bulb) {esp. 球} 7. lens (of glasses, etc.) 8. bead (of an abacus) {esp. 玉,珠} 9. ball (i.e. a testicle) {Slang, Abbreviation, See also 金玉 きんたま, esp. 玉} 10. gem; jewel (esp. spherical; sometimes used figuratively); pearl {esp. 玉,珠; also written as 璧} 11. female entertainer (e.g. a geisha) 12. person (when commenting on their nature); character {Derogatory} 13. item, funds or person used as part of a plot [Noun, Noun - used as a suffix] 14. egg {See also 玉子} [Noun - used as a suffix] 15. coin {usu. だま} 16. precious; beautiful; excellent | Other forms: 球 【たま】、珠 【たま】、弾 【たま】
偶々	たまたま	JLPT N3	[Adverb] 1. casually; unexpectedly; accidentally; by chance {Usually written using kana alone} | Other forms: 偶偶 【たまたま】、偶 【たまたま】、適 【たまたま】
堪らない	たまらない	JLPT N3	[Expression, I-adjective] 1. intolerable; unbearable; unendurable {Usually written using kana alone} 2. irresistible; tremendous; out of this world {Usually written using kana alone} 3. cannot help (doing); cannot but do; anxious to do {Usually written using kana alone, after te-form of verbs and adj.}
黙る	だまる	JLPT N3	[Godan verb with ru ending, intransitive verb] 1. to be silent
駄目	だめ	JLPT N3	[Na-adjective, Noun] 1. no good; not serving its purpose; useless; broken {Usually written using kana alone} 2. hopeless; wasted; in vain; purposeless {Usually written using kana alone} 3. cannot; must not; not allowed {Usually written using kana alone} [Noun] 4. neutral point (in go); intersection owned by neither player at the end of a game | Other forms: ダメ
試し	ためし	JLPT N3	[Noun] 1. trial; test | Other forms: 験し 【ためし】、験 【ためし】
試す	ためす	JLPT N3	[Godan verb with su ending, Transitive verb] 1. to attempt; to test; to try out | Other forms: 験す 【ためす】
